year,data_mean_global,data_mean_nh,data_mean_sh
58,658.7700292765,680.463415795158,637.076642757842
59,658.89802002106,680.591378473206,637.204661568915
60,659.023025475601,680.716395820793,637.32965513041
61,659.155021839706,680.848382932255,637.461660747157
62,659.285023979561,680.978388528893,637.591659430229
63,659.381998898901,681.075399278031,637.68859851977
64,659.391046771843,681.08448666749,637.697606876197
65,659.530015028526,681.223343489554,637.836686567498
66,659.666029310731,681.359403200071,637.97265542139
67,659.800010590566,681.493371266608,638.106649914524
68,659.891036182915,681.584430732391,638.197641633438
69,660.033010645619,681.726355591211,638.339665700028
70,660.136034470558,681.829427771019,638.442641170097
71,660.289020942587,681.982353334363,638.595688550812
72,660.427012592387,682.120387590346,638.733637594429
73,660.461997953596,682.155442862998,638.768553044194
74,660.437071631328,682.130518207111,638.743625055544
75,660.677994971387,682.371235031376,638.984754911397
76,660.778014935104,682.471467474023,639.084562396185
77,660.798031037307,682.491441516041,639.104620558573
78,660.903021541885,682.596387900714,639.209655183055
79,661.007015512622,682.700404008503,639.31362701674
80,661.114058406694,682.807425029635,639.420691783754
81,661.385989036573,683.079236650491,639.692741422655
82,661.470037309518,683.163498726913,639.776575892124
83,661.588014353794,683.281336592485,639.894692115103
84,661.690021665987,683.383436538669,639.996606793304
85,661.764016647541,683.457401956869,640.070631338214
86,661.821020041023,683.514439805075,640.127600276972
87,661.883030116181,683.576424409346,640.189635823016
88,661.993006689943,683.68637632532,640.299637054565
89,662.032036291934,683.725478260465,640.338594323403
90,662.147008310939,683.840344125979,640.453672495898
91,662.20703213651,683.90047832835,640.51358594467
92,662.308008130849,684.001350531554,640.614665730143
93,662.346024742407,684.039489014626,640.652560470188
94,662.402021092918,684.095391842574,640.708650343262
95,662.481022307662,684.174435556854,640.78760905847
96,662.565022398552,684.258398679133,640.871646117971
97,662.661020875508,684.354412545391,640.967629205626
98,662.751021949657,684.444406465974,641.05763743334
99,662.845021346076,684.538408321213,641.15163437094
100,662.933016863179,684.62641233459,641.239621391769
101,662.993021834765,684.686432102415,641.299611567115
102,663.071023694884,684.764406454953,641.377640934816
103,663.156017453721,684.849420142193,641.462614765248
104,663.234026787571,684.927409746208,641.540643828934
105,663.336016375826,685.029402589359,641.642630162294
106,663.40702059044,685.100424404003,641.713616776877
107,663.480024639509,685.17341844826,641.786630830758
108,663.582022337719,685.275395689994,641.888648985443
109,663.676014428993,685.369410966699,641.982617891287
110,663.728020760492,685.421434678951,642.034606842033
111,663.786022721998,685.479425024619,642.092620419376
112,663.86201961547,685.555412851612,642.168626379328
113,663.924016204878,685.617429343796,642.23060306596
114,663.969022675884,685.662432918064,642.275612433703
115,664.026018234171,685.719427771072,642.33260869727
116,664.082022577836,685.775426363264,642.388618792409
117,664.148018833888,685.84142342808,642.454614239696
118,664.215023034592,685.908418831817,642.521627237367
119,664.285015096666,685.978422062406,642.591608130926
120,664.332021165699,686.025431665274,642.638610666124
121,664.370014461445,686.063444481483,642.676584441405
122,664.413034768063,686.106431309389,642.719638226738
123,664.527006783684,686.220375017984,642.833638549385
124,664.494983452555,686.188504864209,642.801462040901
125,664.314036165977,686.007564041365,642.62050829059
126,664.226997638189,685.920495551838,642.53349972454
127,664.110027449519,685.803521586811,642.416533312227
128,664.018996508781,685.712517279914,642.325475737648
129,663.952065295287,685.645482532984,642.25864805759
130,664.05696360158,685.750373563734,642.363553639427
131,663.894024329598,685.587595693841,642.200452965355
132,663.791034855254,685.484499379936,642.097570330571
133,663.842017689096,685.535402419839,642.148632958353
134,663.812969708491,685.506488239243,642.119451177738
135,663.583043969048,685.276610533641,641.889477404455
